case_id,field,expected,tol
BASE-PIF,PmtPull,7500.0,0.005
BASE-PIF,ExitVal,969956.9866081129,0.005
BASE-PIF,BidNPV,869014.5129561055,0.005
BASE-PIF,BidPct,0.8690145129561055,1e-09
BASE-PIF,CY12,0.10356558913366037,1e-09
BASE-PIF,MOIC,1.3146581208659505,1.3146581208659506e-09
BASE-PIF,ImpDPO,0.0,1e-09
BASE-PIF,BidMwVx,0.3476058051824422,1e-09
BASE-PIF,F12P12,1.0227272727272727,1.0227272727272727e-09
BASE-PIF,MTM,59.0,0.0
BASE-PIF,MTA,271.0,0.0
BASE-PIF,UseMTM,59.0,0.0
BASE-PIF,BalAtExit,896995.9530129714,0.005
BASE-PIF,YtmIRR,0.10855054205389866,1e-06
BASE-PIF,YtmXIRR,0.11399946893819307,1e-06
BASE-PIF,SellYTM,0.15000000000177283,1e-06
BASE-PIF,MinHYTM,18.0,0.0
BASE-PIF,MinHCY,1.0,0.0
BASE-PIF,MinHMOIC,23.0,0.0
BASE-PIF,MinHAll,23.0,0.0
BASE-PIF,Net01,7500.0,0.005
BASE-PIF,Net02,7500.0,0.005
BASE-PIF,Net12,7500.0,0.005
BASE-PIF,Net23,7500.0,0.005
BASE-PIF,Net24,969956.9866081129,0.005
BASE-PIF,Net25,0.0,0.005
BASE-PIF,Net36,0.0,0.005
BASE-PIF,Net60,0.0,0.005
BASE-PIF,Opt06_Bid,963024.7586320802,0.005
BASE-PIF,Opt12_Bid,929015.8358487263,0.005
BASE-PIF,Opt24_Bid,869014.5129561055,0.005
BASE-PIF,Opt36_Bid,818389.8424087621,0.005
BASE-PIF,Opt60_Bid,739957.248572423,0.005
EXIT-UserEnter-24,PmtPull,7500.0,0.005
EXIT-UserEnter-24,ExitVal,750000.0,0.005
EXIT-UserEnter-24,BidNPV,705763.0822762767,0.005
EXIT-UserEnter-24,BidPct,0.7057630822762767,1e-09
EXIT-UserEnter-24,CY12,0.1275215469045585,1e-09
EXIT-UserEnter-24,MOIC,1.3070958557717247,1.3070958557717248e-09
EXIT-UserEnter-24,ImpDPO,0.22676983582260757,1e-09
EXIT-UserEnter-24,BidMwVx,0.2823052329105107,1e-09
EXIT-UserEnter-24,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-UserEnter-24,MTM,59.0,0.0
EXIT-UserEnter-24,MTA,271.0,0.0
EXIT-UserEnter-24,UseMTM,59.0,0.0
EXIT-UserEnter-24,BalAtExit,896995.9530129714,0.005
EXIT-UserEnter-24,YtmIRR,0.16374810932415967,1e-06
EXIT-UserEnter-24,YtmXIRR,0.17642169198166435,1e-06
EXIT-UserEnter-24,SellYTM,0.15000000000177283,1e-06
EXIT-UserEnter-24,MinHYTM,1.0,0.0
EXIT-UserEnter-24,MinHCY,1.0,0.0
EXIT-UserEnter-24,MinHMOIC,24.0,0.0
EXIT-UserEnter-24,MinHAll,24.0,0.0
EXIT-UserEnter-24,Net01,7500.0,0.005
EXIT-UserEnter-24,Net02,7500.0,0.005
EXIT-UserEnter-24,Net12,7500.0,0.005
EXIT-UserEnter-24,Net23,7500.0,0.005
EXIT-UserEnter-24,Net24,750000.0,0.005
EXIT-UserEnter-24,Net25,0.0,0.005
EXIT-UserEnter-24,Net36,0.0,0.005
EXIT-UserEnter-24,Net60,0.0,0.005
EXIT-UserEnter-24,Opt06_Bid,732264.9198289963,0.005
EXIT-UserEnter-24,Opt12_Bid,722764.9755604969,0.005
EXIT-UserEnter-24,Opt24_Bid,705763.0822762767,0.005
EXIT-UserEnter-24,Opt36_Bid,691115.8049884208,0.005
EXIT-UserEnter-24,Opt60_Bid,667625.883366032,0.005
EXIT-DPO-24,PmtPull,7500.0,0.005
EXIT-DPO-24,ExitVal,727467.7399560846,0.005
EXIT-DPO-24,BidNPV,689039.7049226271,0.005
EXIT-DPO-24,BidPct,0.6890397049226271,1e-09
EXIT-DPO-24,CY12,0.13061656586263948,1e-09
EXIT-DPO-24,MOIC,1.306118839780275,1.306118839780275e-09
EXIT-DPO-24,ImpDPO,0.2500000000000001,1e-09
EXIT-DPO-24,BidMwVx,0.27561588196905085,1e-09
EXIT-DPO-24,F12P12,1.0227272727272727,1.0227272727272727e-09
EXIT-DPO-24,MTM,59.0,0.0
EXIT-DPO-24,MTA,271.0,0.0
EXIT-DPO-24,UseMTM,59.0,0.0
EXIT-DPO-24,BalAtExit,896995.9530129714,0.005
EXIT-DPO-24,YtmIRR,0.1702614668251492,1e-06
EXIT-DPO-24,YtmXIRR,0.18399497966953665,1e-06
EXIT-DPO-24,SellYTM,0.15000000000177283,1e-06
EXIT-DPO-24,MinHYTM,1.0,0.0
EXIT-DPO-24,MinHCY,1.0,0.0
EXIT-DPO-24,MinHMOIC,24.0,0.0
EXIT-DPO-24,MinHAll,24.0,0.0
EXIT-DPO-24,Net01,7500.0,0.005
EXIT-DPO-24,Net02,7500.0,0.005
EXIT-DPO-24,Net12,7500.0,0.005
