case_id,name,value
BASE-PIF,LoanNo,000005100324610
BASE-PIF,UPB,1000000.0
BASE-PIF,IntBal,40000.0
BASE-PIF,CRate,0.0725
BASE-PIF,DRate,0.1225
BASE-PIF,CPmt,7500.0
BASE-PIF,MatDt,2031-06-01
BASE-PIF,T3,22000.0
BASE-PIF,T6,44000.0
BASE-PIF,T12,88000.0
BASE-PIF,T24,176000.0
BASE-PIF,PmtSel,Current PMT
BASE-PIF,UserPmt,0.0
BASE-PIF,TermMonths,0
BASE-PIF,MTrailSel,12M
BASE-PIF,TrailPct,1.0
BASE-PIF,RateSel,Contractual
BASE-PIF,UserRate,0.0
BASE-PIF,LegalInit,0.0
BASE-PIF,LegalStartM,0
BASE-PIF,HoldCost,0.0
BASE-PIF,LegalEndM,0
BASE-PIF,AddBack,No
BASE-PIF,ExitType,PIF
BASE-PIF,DPOPct,0.25
BASE-PIF,UserExit,0.0
BASE-PIF,ValCapPct,1.0
BASE-PIF,YTMTgt,0.15
BASE-PIF,AddAccrued,No
BASE-PIF,LiqAcrM,0
BASE-PIF,StartMonth,1
BASE-PIF,ExitMonth,24
BASE-PIF,BidOverride,
BASE-PIF,Yield,0.15
BASE-PIF,CutoffDt,2026-07-01
BASE-PIF,AnchorDt,2026-07-31
BASE-PIF,MinMonthsJ2,0
BASE-PIF,HurdleYTM,0.1
BASE-PIF,HurdleCY,0.09
BASE-PIF,HurdleMOIC,1.3
BASE-PIF,RelColl,2500000.0
EXIT-UserEnter-24,LoanNo,000005100324610
EXIT-UserEnter-24,UPB,1000000.0
EXIT-UserEnter-24,IntBal,40000.0
EXIT-UserEnter-24,CRate,0.0725
EXIT-UserEnter-24,DRate,0.1225
EXIT-UserEnter-24,CPmt,7500.0
EXIT-UserEnter-24,MatDt,2031-06-01
EXIT-UserEnter-24,T3,22000.0
EXIT-UserEnter-24,T6,44000.0
EXIT-UserEnter-24,T12,88000.0
EXIT-UserEnter-24,T24,176000.0
EXIT-UserEnter-24,PmtSel,Current PMT
EXIT-UserEnter-24,UserPmt,0.0
EXIT-UserEnter-24,TermMonths,0
EXIT-UserEnter-24,MTrailSel,12M
EXIT-UserEnter-24,TrailPct,1.0
EXIT-UserEnter-24,RateSel,Contractual
EXIT-UserEnter-24,UserRate,0.0
EXIT-UserEnter-24,LegalInit,0.0
EXIT-UserEnter-24,LegalStartM,0
EXIT-UserEnter-24,HoldCost,0.0
EXIT-UserEnter-24,LegalEndM,0
EXIT-UserEnter-24,AddBack,No
EXIT-UserEnter-24,ExitType,User Enter
EXIT-UserEnter-24,DPOPct,0.25
EXIT-UserEnter-24,UserExit,750000
EXIT-UserEnter-24,ValCapPct,0.6
EXIT-UserEnter-24,YTMTgt,0.12
EXIT-UserEnter-24,AddAccrued,No
EXIT-UserEnter-24,LiqAcrM,18
EXIT-UserEnter-24,StartMonth,1
EXIT-UserEnter-24,ExitMonth,24
EXIT-UserEnter-24,BidOverride,
EXIT-UserEnter-24,Yield,0.15
EXIT-UserEnter-24,CutoffDt,2026-07-01
EXIT-UserEnter-24,AnchorDt,2026-07-31
EXIT-UserEnter-24,MinMonthsJ2,0
EXIT-UserEnter-24,HurdleYTM,0.1
EXIT-UserEnter-24,HurdleCY,0.09
EXIT-UserEnter-24,HurdleMOIC,1.3
EXIT-UserEnter-24,RelColl,2500000.0
EXIT-DPO-24,LoanNo,000005100324610
EXIT-DPO-24,UPB,1000000.0
EXIT-DPO-24,IntBal,40000.0
EXIT-DPO-24,CRate,0.0725
EXIT-DPO-24,DRate,0.1225
EXIT-DPO-24,CPmt,7500.0
EXIT-DPO-24,MatDt,2031-06-01
EXIT-DPO-24,T3,22000.0
EXIT-DPO-24,T6,44000.0
EXIT-DPO-24,T12,88000.0
EXIT-DPO-24,T24,176000.0
EXIT-DPO-24,PmtSel,Current PMT
EXIT-DPO-24,UserPmt,0.0
EXIT-DPO-24,TermMonths,0
EXIT-DPO-24,MTrailSel,12M
EXIT-DPO-24,TrailPct,1.0
EXIT-DPO-24,RateSel,Contractual
EXIT-DPO-24,UserRate,0.0
EXIT-DPO-24,LegalInit,0.0
EXIT-DPO-24,LegalStartM,0
EXIT-DPO-24,HoldCost,0.0
EXIT-DPO-24,LegalEndM,0
EXIT-DPO-24,AddBack,No
EXIT-DPO-24,ExitType,DPO
EXIT-DPO-24,DPOPct,0.25
EXIT-DPO-24,UserExit,750000
EXIT-DPO-24,ValCapPct,0.6
EXIT-DPO-24,YTMTgt,0.12
EXIT-DPO-24,AddAccrued,No
EXIT-DPO-24,LiqAcrM,18
EXIT-DPO-24,StartMonth,1
EXIT-DPO-24,ExitMonth,24
EXIT-DPO-24,BidOverride,
EXIT-DPO-24,Yield,0.15
EXIT-DPO-24,CutoffDt,2026-07-01
EXIT-DPO-24,AnchorDt,2026-07-31
EXIT-DPO-24,MinMonthsJ2,0
EXIT-DPO-24,HurdleYTM,0.1
EXIT-DPO-24,HurdleCY,0.09
EXIT-DPO-24,HurdleMOIC,1.3
EXIT-DPO-24,RelColl,2500000.0
EXIT-YTMSellSolve-24,LoanNo,000005100324610
EXIT-YTMSellSolve-24,UPB,1000000.0
EXIT-YTMSellSolve-24,IntBal,40000.0
EXIT-YTMSellSolve-24,CRate,0.0725
EXIT-YTMSellSolve-24,DRate,0.1225
EXIT-YTMSellSolve-24,CPmt,7500.0
EXIT-YTMSellSolve-24,MatDt,2031-06-01
EXIT-YTMSellSolve-24,T3,22000.0
EXIT-YTMSellSolve-24,T6,44000.0
EXIT-YTMSellSolve-24,T12,88000.0
EXIT-YTMSellSolve-24,T24,176000.0
EXIT-YTMSellSolve-24,PmtSel,Current PMT
EXIT-YTMSellSolve-24,UserPmt,0.0
EXIT-YTMSellSolve-24,TermMonths,0
EXIT-YTMSellSolve-24,MTrailSel,12M
EXIT-YTMSellSolve-24,TrailPct,1.0
EXIT-YTMSellSolve-24,RateSel,Contractual
EXIT-YTMSellSolve-24,UserRate,0.0
EXIT-YTMSellSolve-24,LegalInit,0.0
EXIT-YTMSellSolve-24,LegalStartM,0
EXIT-YTMSellSolve-24,HoldCost,0.0
EXIT-YTMSellSolve-24,LegalEndM,0
EXIT-YTMSellSolve-24,AddBack,No
